> Executing task in folder sensors values: C:\Users\Ahmad Asmandar\.platformio\penv\Scripts\platformio.exe device monitor <


--- Miniterm on COM5  57600,8,N,1 ---
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
time delta_hall     2670
time delta_photo     424
time delta_hall     2670
time delta_photo     470
time delta_hall     2670
time delta_photo     453
time delta_hall     2670
time delta_photo     526
time delta_hall     2670
time delta_photo     549
time delta_hall     2670
time delta_photo     678
time delta_hall     2670
time delta_photo     678
time delta_hall     3309
time delta_photo     787
time delta_hall     3309
time delta_photo     787
time delta_hall     3309
time delta_photo     1125
time delta_hall     3309
time delta_photo     1125
time delta_hall     3309
time delta_photo     1125
time delta_hall     3309
time delta_photo     1346
time delta_hall     3309
time delta_photo     1346
time delta_hall     3309
time delta_photo     1346
time delta_hall     3309
time delta_photo     1556
time delta_hall     3309
time delta_photo     1556
time delta_hall     3309
time delta_photo     1353
time delta_hall     3309
time delta_photo     1353
time delta_hall     3309
time delta_photo     1353
time delta_hall     3309
time delta_photo     1276
time delta_hall     3309
time delta_photo     1276
time delta_hall     3309
time delta_photo     1053
time delta_hall     3309
time delta_photo     1053
time delta_hall     3309
time delta_photo     1238
time delta_hall     3309
time delta_photo     1238
time delta_hall     3309
time delta_photo     1238
time delta_hall     3309
time delta_photo     1238
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309
time delta_photo     1823
time delta_hall     3309

--- exit ---

Terminal will be reused by tasks, press any key to close it.
