> Executing task in folder sensors values: C:\Users\Ahmad Asmandar\.platformio\penv\Scripts\platformio.exe device monitor <


--- Miniterm on COM5  57600,8,N,1 ---
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
time delta_hall     638
time delta_photo     107
time delta_hall     657
time delta_photo     108
time delta_hall     662
time delta_photo     119
time delta_hall     662
time delta_photo     118
time delta_hall     683
time delta_photo     120
time delta_hall     689
time delta_photo     114
time delta_hall     710
time delta_photo     116
time delta_hall     710
time delta_photo     119
time delta_hall     719
time delta_photo     118
time delta_hall     744
time delta_photo     122
time delta_hall     744
time delta_photo     125
time delta_hall     752
time delta_photo     124
time delta_hall     782
time delta_photo     136
time delta_hall     782
time delta_photo     140
time delta_hall     791
time delta_photo     143
time delta_hall     791
time delta_photo     134
time delta_hall     824
time delta_photo     137
time delta_hall     837
time delta_photo     150
time delta_hall     837
time delta_photo     152
time delta_hall     874
time delta_photo     144
time delta_hall     874
time delta_photo     160
time delta_hall     888
time delta_photo     162
time delta_hall     888
time delta_photo     152
time delta_hall     933
time delta_photo     166
time delta_hall     933
time delta_photo     161
time delta_hall     952
time delta_photo     174
time delta_hall     952
time delta_photo     164
time delta_hall     1004
time delta_photo     180
time delta_hall     1004
time delta_photo     175
time delta_hall     1027
time delta_photo     176
time delta_hall     1027
time delta_photo     192
time delta_hall     1094
time delta_photo     184
time delta_hall     1094
time delta_photo     189
time delta_hall     1124
time delta_photo     209
time delta_hall     1124
time delta_photo     210
time delta_hall     1208
time delta_photo     197
time delta_hall     1208
time delta_photo     203
time delta_hall     1208
time delta_photo     211
time delta_hall     1253
time delta_photo     237
time delta_hall     1253
time delta_photo     237
time delta_hall     1253
time delta_photo     240
time delta_hall     1365
time delta_photo     246
time delta_hall     1365
time delta_photo     255
time delta_hall     1365
time delta_photo     268
time delta_hall     1427
time delta_photo     275
time delta_hall     1427
time delta_photo     276
time delta_hall     1427
time delta_photo     280
time delta_hall     1596
time delta_photo     264
time delta_hall     1596
time delta_photo     280
time delta_hall     1596
time delta_photo     300
time delta_hall     1696
time delta_photo     332
time delta_hall     1696
time delta_photo     345
time delta_hall     1696
time delta_photo     322
time delta_hall     1696
time delta_photo     316
time delta_hall     1984
time delta_photo     349
time delta_hall     1984
time delta_photo     370
time delta_hall     1984
time delta_photo     362
time delta_hall     1984
time delta_photo     410
time delta_hall     2187
time delta_photo     410
time delta_hall     2187
time delta_photo     472
time delta_hall     2187
time delta_photo     460
time delta_hall     2187
time delta_photo     502
time delta_hall     2187
time delta_photo     465
time delta_hall     2187
time delta_photo     451
time delta_hall     2853
time delta_photo     499
time delta_hall     2853
time delta_photo     485
time delta_hall     2853
time delta_photo     485
time delta_hall     2853
time delta_photo     569
time delta_hall     2853
time delta_photo     603
time delta_hall     2853
time delta_photo     770
time delta_hall     2853
time delta_photo     770
time delta_hall     2853
time delta_photo     955
time delta_hall     2853
time delta_photo     955
time delta_hall     2853
time delta_photo     955
time delta_hall     2853
time delta_photo     955
time delta_hall     2853
time delta_photo     1872
time delta_hall     2853
time delta_photo     1872
time delta_hall     2853
time delta_photo     1872
time delta_hall     2853
time delta_photo     1872
time delta_hall     2853
time delta_photo     1872
time delta_hall     2853
time delta_photo     1872
time delta_hall     2853
time delta_photo     1872
time delta_hall     2853
time delta_photo     1872
time delta_hall     2853
time delta_photo     1872
time delta_hall     2853

--- exit ---
